"entity_id","friendly_name","last_changed"
"automation.track_gpt_requests","Track GPT Requests","2025-11-03T10:32:22.322094+00:00"
"automation.smart_dashboard_optimization_reminder","???? Smart Dashboard Optimization Reminder","2025-11-03T10:32:22.453625+00:00"
"automation.run_kodi_ai_when_prompt_is_updated","Run Kodi AI when Prompt is Updated","2025-11-03T10:32:39.408323+00:00"
"automation.git_sync_failure_alert","???? Git Sync Failure Alert","2025-11-03T10:32:39.410011+00:00"
"automation.save_latest_email_content_to_files","Save Latest Email Content to Files","2025-11-03T10:32:39.418762+00:00"
"automation.notify_if_git_sync_stale_2","Notify if Git Sync Stale","2025-11-03T10:32:39.419339+00:00"
"automation.run_yaml_validation_log_result","Run YAML Validation & Log Result","2025-11-03T10:32:39.419716+00:00"
"automation.sync_orphaned_files_to_recovery","Sync Orphaned Files to Recovery","2025-11-03T10:32:39.495501+00:00"
"automation.add_task_from_dashboard","Add Task from Dashboard","2025-11-03T10:32:39.581362+00:00"
"automation.log_esp_restart_reason","Log ESP Restart Reason","2025-11-03T10:32:39.581784+00:00"
"automation.send_gpt_prompt_from_direct_input","Send GPT Prompt from Direct Input","2025-11-03T10:32:39.582132+00:00"
"automation.run_yaml_validation_log_result_2","Run YAML Validation & Log Result","2025-11-03T10:32:39.582471+00:00"
"automation.add_to_do_via_dashboard","Add To-Do via Dashboard","2025-11-03T10:32:39.582807+00:00"
"automation.save_latest_email_content_to_files_2","Save Latest Email Content to Files","2025-11-03T10:32:39.583136+00:00"
"automation.alert_if_wsl_restart_marker_missing","Alert if WSL Restart Marker Missing","2025-11-03T10:32:39.583475+00:00"
"automation.ensure_gpt_status_file_permissions","Ensure GPT Status File Permissions","2025-11-03T10:32:39.583810+00:00"
"automation.enable_entities_dashboard","Enable Entities Dashboard","2025-11-03T10:32:39.584140+00:00"
"automation.disable_entities_dashboard","Disable Entities Dashboard","2025-11-03T10:32:39.584475+00:00"
"automation.re_ask_chatgpt","Re-Ask ChatGPT","2025-11-03T10:32:39.584813+00:00"
"automation.notify_system_update_available","Notify System Update Available","2025-11-03T10:32:39.585150+00:00"
"automation.backup_success_reminder","Backup Success Reminder","2025-11-03T10:32:39.585514+00:00"
"automation.notify_of_stale_updates","Notify of Stale Updates","2025-11-03T10:32:39.585848+00:00"
"automation.notify_backup_created","Notify Backup Created","2025-11-03T10:32:39.586176+00:00"
"automation.run_gpt_when_prompt_changes","Run GPT when prompt changes","2025-11-03T10:32:39.586512+00:00"
"automation.announce_gpt_reply","Announce GPT reply","2025-11-03T10:32:39.586900+00:00"
"automation.push_gpt_reply_to_mobile","Push GPT reply to mobile","2025-11-03T10:32:39.587245+00:00"
"automation.remind_vpn_on_for_streaming","Remind VPN on for streaming","2025-11-03T10:32:39.587583+00:00"
"automation.auto_bedtime_scene","Auto Bedtime Scene","2025-11-03T10:32:39.587915+00:00"
"automation.kitchen_blinds_open_morning_gradual","Kitchen Blinds Open Morning (Gradual)","2025-11-03T10:32:39.588257+00:00"
"automation.kitchen_blinds_close_evening_gradual","Kitchen Blinds Close Evening (Gradual)","2025-11-03T10:32:39.588597+00:00"
"automation.kitchen_window_open_alert","Kitchen Window Open Alert","2025-11-03T10:32:39.588928+00:00"
"automation.alexa_kitchen_afternoon_greeting","Alexa Kitchen Afternoon Greeting","2025-11-03T10:32:39.589262+00:00"
"automation.gpt_conversational_text_trigger_shell","GPT Conversational Text Trigger (Shell)","2025-11-03T10:32:39.589593+00:00"
"automation.run_nas_script_from_chatgpt_prompt","Run NAS Script from ChatGPT Prompt","2025-11-03T10:32:39.589927+00:00"
"automation.mark_gpt_as_sent","Mark GPT as Sent","2025-11-03T10:32:39.590257+00:00"
"automation.admin_gpt_mark_as_sent","Admin GPT Mark as Sent","2025-11-03T10:32:39.590588+00:00"
"automation.admin_gpt_reply_complete","Admin GPT Reply Complete","2025-11-03T10:32:39.591019+00:00"
"automation.gpt_conversational_text_trigger","GPT Conversational Text Trigger","2025-11-03T10:32:39.591378+00:00"
"automation.alert_if_jit_plugin_goes_offline","Alert if JIT Plugin goes offline","2025-11-03T10:32:39.591712+00:00"
"automation.alert_if_wsl_restart_marker_missing_2","Alert if WSL Restart Marker Missing","2025-11-03T10:32:39.592043+00:00"
"automation.disable_noisy_entity_logging","Disable noisy entity logging","2025-11-03T10:32:39.592400+00:00"
"automation.send_home_assistant_startup_report","Send Home Assistant Startup Report","2025-11-03T10:32:39.592733+00:00"
"automation.react_to_gpt_context_change","React to GPT Context Change","2025-11-03T10:32:39.593073+00:00"
"automation.reload_automations_after_startup","Reload Automations After Startup","2025-11-03T10:32:39.593403+00:00"
"automation.log_gpt_context_change","Log GPT Context Change","2025-11-03T10:32:39.593742+00:00"
"automation.kitchen_light_off","Kitchen Light Off","2025-11-03T10:32:39.594740+00:00"
"automation.kitchen_manual_off","Kitchen Manual Off","2025-11-03T10:32:39.595074+00:00"
"automation.flight_alert_takeoff_or_landing","Flight Alert - Takeoff or Landing","2025-11-03T10:32:39.606148+00:00"
"automation.door_open_alexa_lounge_weather_advisory","Alexa Lounge Weather Advisory","2025-11-03T10:32:39.606545+00:00"
"automation.teddy_belt_level_up","Teddy Belt Level Up","2025-11-03T10:32:39.662983+00:00"
"automation.add_karate_belt_badge","Add Karate Belt Badge","2025-11-03T10:32:39.663359+00:00"
"automation.automation_2","automation 6","2025-11-03T10:32:39.663697+00:00"
"automation.zigbee_motion_light_control","Bathroom Motion + Switch Light Control","2025-11-03T10:32:39.664090+00:00"
"automation.reset_media_player_volume_after_playback_2","Reset Media Player Volume After Playback","2025-11-03T10:32:39.710902+00:00"
"automation.reset_media_player_volume_after_playback_3","Reset Media Player Volume After Playback","2025-11-03T10:32:39.711313+00:00"
"automation.ha_control_evening_mode","HA Control: Evening Mode","2025-11-03T10:32:39.714066+00:00"
"automation.ha_control_rainy_weather_mode","HA Control: Rainy Weather Mode","2025-11-03T10:32:39.714639+00:00"
"automation.ha_control_when_home","HA Control: When Home","2025-11-03T10:32:39.715023+00:00"
"automation.red_arrows_watch","Red Arrows Watch","2025-11-03T10:32:39.728503+00:00"
"automation.j_home","J Home","2025-11-03T10:32:39.728974+00:00"
"automation.s_home","S Home","2025-11-03T10:32:39.729836+00:00"
"automation.aircraft_noise_detection_lounge_vibration","Aircraft Noise Detection ??? Lounge Vibration","2025-11-03T10:32:39.730423+00:00"
"automation.log_aircraft_entry","Log aircraft entry","2025-11-03T10:32:39.730897+00:00"
"automation.sync_media_player_selector","Sync Media Player Selector","2025-11-03T10:32:39.731334+00:00"
"automation.fix_sheet_timestamp","Fix Sheet Timestamp","2025-11-03T10:32:39.731986+00:00"
"automation.office_light_on_when_occupied","Office Light On When Occupied","2025-11-03T10:32:39.754261+00:00"
"automation.ads_b_feed_heartbeat","ADS-B Feed Heartbeat","2025-11-03T10:32:39.754642+00:00"
"automation.log_ads_b_emergency","Log ADS-B Emergency","2025-11-03T10:32:39.755057+00:00"
"automation.flash_lamp_for_low_aircraft","Flash Lamp for Low Aircraft","2025-11-03T10:32:39.755435+00:00"
"automation.hall_light_on_when_all_others_are_off_at_night","Hall Light On When All Others Are Off at Night","2025-11-03T10:32:39.755793+00:00"
"automation.update_notion_icon_when_hall_light_turns_off","Update Notion Icon When Hall Light Turns Off","2025-11-03T10:32:39.756145+00:00"
"automation.office_light_on_when_occupied_2","Office Light On When Occupied","2025-11-03T10:32:39.756494+00:00"
"automation.office_light_off_after_no_motion","Office Light Off After No Motion","2025-11-03T10:32:39.756829+00:00"
