"entity_id","state","domain"
"sensor.grafana_cpu_percent","unavailable","sensor"
"sensor.grafana_memory_percent","unavailable","sensor"
"sensor.vlc_cpu_percent","unavailable","sensor"
"sensor.vlc_memory_percent","unavailable","sensor"
"sensor.motioneye_cpu_percent","unavailable","sensor"
"sensor.motioneye_memory_percent","unavailable","sensor"
"sensor.studio_code_server_cpu_percent","unavailable","sensor"
"sensor.studio_code_server_memory_percent","unavailable","sensor"
"sensor.sharptools_io_cpu_percent","unavailable","sensor"
"sensor.sharptools_io_memory_percent","unavailable","sensor"
"sensor.frigate_full_access_cpu_percent","unavailable","sensor"
"sensor.frigate_full_access_memory_percent","unavailable","sensor"
"sensor.influxdb_cpu_percent","unavailable","sensor"
"sensor.influxdb_memory_percent","unavailable","sensor"
"sensor.node_red_cpu_percent","unavailable","sensor"
"sensor.node_red_memory_percent","unavailable","sensor"
"media_player.left_homepod","unavailable","media_player"
"switch.homepod","unavailable","switch"
"sensor.fire_tab_next_alarm","unavailable","sensor"
"sensor.fire_tab_media_session","unavailable","sensor"
"sensor.next_launch_next_starship_event","unavailable","sensor"
"media_player.tv_lounge_tv","unavailable","media_player"
"media_player.tv_bedroom_tv","unavailable","media_player"
"number.wiz_rgbw_tunable_2606be_effect_speed","unavailable","number"
"number.wiz_rgbw_tunable_2609a6_effect_speed","unavailable","number"
"number.wiz_rgbw_tunable_ae6b50_effect_speed","unavailable","number"
"light.was_dining_light","unavailable","light"
"light.master_bedroom","unavailable","light"
"light.spare_room","unavailable","light"
"switch.sonos_beam_shuffle_switch","unavailable","switch"
"switch.sonos_beam_repeat_switch","unavailable","switch"
"switch.kitchen_alexa_shuffle_switch","unavailable","switch"
"switch.kitchen_alexa_repeat_switch","unavailable","switch"
"switch.lounge_alexa_shuffle_switch","unavailable","switch"
"switch.lounge_alexa_repeat_switch","unavailable","switch"
"switch.teddy_shuffle_switch","unavailable","switch"
"switch.teddy_repeat_switch","unavailable","switch"
"switch.bedroom_do_not_disturb_switch","unavailable","switch"
"switch.bedroom_shuffle_switch","unavailable","switch"
"switch.bedroom_repeat_switch","unavailable","switch"
"switch.lounge_do_not_disturb_switch","unavailable","switch"
"switch.lounge_shuffle_switch","unavailable","switch"
"switch.lounge_repeat_switch","unavailable","switch"
"media_player.vlc_telnet","unavailable","media_player"
"sensor.bedroom_next_alarm","unavailable","sensor"
"sensor.bedroom_next_timer","unavailable","sensor"
"sensor.bedroom_next_reminder","unavailable","sensor"
"sensor.lounge_next_alarm","unavailable","sensor"
"sensor.lounge_next_timer","unavailable","sensor"
"sensor.lounge_next_reminder","unavailable","sensor"
"automation.track_gpt_requests","unavailable","automation"
"automation.smart_dashboard_optimization_reminder","unavailable","automation"
"media_player.bedroom_2","unavailable","media_player"
"media_player.lounge_2","unavailable","media_player"
"binary_sensor.motion_sensor_motion","unavailable","binary_sensor"
"binary_sensor.teddy_contact_sensor_door_2","unavailable","binary_sensor"
"binary_sensor.tapo_camera_motion","unavailable","binary_sensor"
"binary_sensor.front_door_motion","unavailable","binary_sensor"
"binary_sensor.lounge_contact_sensor_door_2","unavailable","binary_sensor"
"binary_sensor.side_motion","unavailable","binary_sensor"
"binary_sensor.front_door_motion_2","unavailable","binary_sensor"
"binary_sensor.kitchen_window_contact_sensor_door","unavailable","binary_sensor"
"light.bedroom_lamp_2","unavailable","light"
"light.loo_3","unavailable","light"
"light.master_bedroom_2","unavailable","light"
"light.gold_lamp","unavailable","light"
